ID(0)	Property(1)	原文(2)	統制ラベル(3)	対象ID(4)	英語ラベル(5)	絶対時間(6)	Type(7)	担当
1	対象文	ヘレンがホームズの家にやってくる			Helen comes to Holmes' house			川村
	Type							川村
	情報源							川村
	hasPredicate	来る			come			川村
	主語/Who（誰が）	ヘレン			Helen		Person	川村
	Whom（誰に）							川村
	Where（どこで）							川村
	From（どこから）							川村
	To（どこへ）	ホームズの家			house of Holmes		Place	川村
	When（いつ）					1883-04-01T10		川村
	What（何を）							川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文							川村
2	対象文	ヘレンは怖がっている			Helen is scared			川村
	Type							川村
	情報源							川村
	hasPredicate	怖がる			beScared			川村
	主語/Who（誰が）	ヘレン			Helen			川村
	Whom（誰に）							川村
	Where（どこで）							川村
	From（どこから）							川村
	To（どこへ）							川村
	When（いつ）					1883-04-01T10		川村
	What（何を）							川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文							川村
3	対象文	ヘレンは動揺している			Helen is upset			川村
	Type							川村
	情報源							川村
	hasPredicate	動揺する			beUpset			川村
	主語/Who（誰が）	ヘレン			Helen			川村
	Whom（誰に）							川村
	Where（どこで）							川村
	From（どこから）							川村
	To（どこへ）							川村
	When（いつ）					1883-04-01T10		川村
	What（何を）							川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文							川村
4	対象文	ヘレンはお金がない			Helen has no money			川村
	Type							川村
	情報源							川村
	hasPredicate	not持つ			notHave 			川村
	主語/Who（誰が）	ヘレン			Helen			川村
	Whom（誰に）							川村
	Where（どこで）							川村
	From（どこから）							川村
	To（どこへ）							川村
	When（いつ）					1883-04-01T10		川村
	What（何を）	お金			money		Object	川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文							川村
5	対象文	ヘレンは２ヶ月以内に結婚する			Helen gets married within 2 months			川村
	Type							川村
	情報源							川村
	hasPredicate	結婚する			getMarried			川村
	主語/Who（誰が）	ヘレン			Helen			川村
	Whom（誰に）							川村
	Where（どこで）							川村
	From（どこから）							川村
	To（どこへ）							川村
	When（いつ）	２ヶ月以内			within 2 months	1883-06-01T10		川村
	What（何を）							川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文							川村
6	対象文	ヘレンは２ヶ月以内にお金を得る			Helen gets money within two months			川村
	Type							川村
	情報源							川村
	hasPredicate	得る			obtain			川村
	主語/Who（誰が）	ヘレン			Helen			川村
	Whom（誰に）							川村
	Where（どこで）							川村
	From（どこから）							川村
	To（どこへ）							川村
	When（いつ）	２ヶ月以内			within 2 months	1883-06-01T10		川村
	What（何を）	お金			money			川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文	ヘレンはホームズにお礼する	then	7	Helen thanks Holmes			川村
7	対象文	ヘレンはホームズにお礼する			Helen thanks Holmes			川村
	Type							川村
	情報源							川村
	hasPredicate	支払う			pay			川村
	主語/Who（誰が）	ヘレン			Helen			川村
	Whom（誰に）	ホームズ			Holmes		Person	川村
	Where（どこで）							川村
	From（どこから）							川村
	To（どこへ）							川村
	When（いつ）					1883-06-01T10		川村
